"","Alnus","Cecropia.type","Celtis","Cupressaceae","Eryngium","Fraxinus.excelsior.type","Hedyosmum.type","Juglans","Montia","Moraceae","Morus.alba.type","Myrica","Myrsinaceae","Plantago.lanceolata.type","Platanus","Podocarpus","Quercus","Salix","Thalictrum","Weinmannia.type","Acacia","Acnistus.ellipticus","Bursera.graveolens.s.l.","Caesalpiniaceae","Cassia.type","Castela.galapageia","Casuarina","Chiococca.alba","Cinchona.pubescens","Cinchona.pubescens.stomata","Cordia","Croton.scouleri","Cryptocarpus.pyriformis","Dodonaea.viscosa","Hippomane.mancinella","Lantana.peduncularis","Lycium","Miconia.robinsoniana","Parkinsonia.aculeata","Pernettya.howellii","Phoradendron.henslowii","Piscidia.carthagenensis","Pisonia.floribunda","Prosopis.juliflora","Psidium.galapageium","Psidium.guajava","Psychotria.rufipes","Rhizophora.mangle","Rubus","Sapindaceae","Scalesia","Scutia.spicata.var..pauciflora","Tournefortia.pubescens.T..rufo.sericea","Trema","Zanthoxylum.fagara","Acalypha..P3.","Acalypha.type..P4.large.","Ageratum.conyzoides","Alternanthera","Amaranthus","Ambrosia","Apium","Bastardia.viscosa","Bidens.type","Borreria.dispersa.type","Borreria.laevis.type","Brickellia.diffusa","Cardiospermum","Ceratophyllum.spine","cf..Grabowskia","cf..Hedera","Chamaesyce","Chenopodiaceae.type","Chrysanthellum.type","Cissampelos","Commelina","Compositae.Subfam..Asteroideae","Crotalaria.type","Cruciferae","Cuphea.carthagenensis","Desmodium.type","Drymaria","Euphorbia","Evolvulus","Fleurya.aestuans","Galium","Gnaphalium.type","Gomphrena","Gramineae","Heliotropium","Hibiscus.diversifolius.type","Hypericum.uliginosum","Hypoxis.decumbens","Hyptis","Jaegeria.gracilis","Justicia.galapagana","Lantana.peduncularis.1","Lindernia","Ludwigia","Mecardonia.dianthera","Mentzelia.aspera","Papilionaceae","Papilionaceae..small.round.pores.","Phyllanthus","Phyllanthus.carolinianus","Physalis","Pilea.baurii","Plantago","Pollen..indet..","Pollen..tetracolpate.short.colpi.","Pollen..tricolpate.psilate.small.","Pollen..tricolpate.short.colpi.","Pollen..tricolporate.fine.reticulum.","Pollen..tricolporate.short.colpi.","Pollen..tricolporate.small.scabrate.","Pollen..tricolporate.small.smooth.","Polygonum.Sect..Persicaria","Portulacaceae","Ranunculus.Subgen..Batrachium","Rumex.type","Salvia","Sida","Sisyrinchium.galapagense","Solanaceae","Solanum.americanum.type","Solanum.type","Urtica.type","Utricularia","Verbena.littoralis.type","Vigna.luteola","Cyperaceae","Cal_yrs_BP","min","max"
"...3"," 0.0173913043"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0043478261"," 0.0043478261"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0043478261"," 0.0000000000"," 0.0043478261"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0043478261"," 0.0086956522"," 0.0521739130"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0043478261"," 0.0000000000"," 0.0000000000"," 0.0565217391"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0217391304"," 0.0000000000"," 0.0043478261"," 0.0000000000"," 0.0000000000"," 0.0086956522"," 0.0000000000"," 0.0217391304"," 0.0173913043"," 0.0000000000"," 0.0000000000"," 0.0043478261"," 0.0000000000"," 0.0304347826"," 0.0000000000"," 0.0000000000"," 0.0086956522"," 0.0304347826"," 0.1000000000"," 0.0000000000"," 0.0869565217"," 0.0086956522"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0043478261"," 0.0000000000"," 0.0130434783"," 0.0173913043"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0130434783"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0086956522"," 0.0173913043"," 0.0000000000"," 0.0000000000"," 0.0086956522"," 0.0000000000"," 0.0173913043"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.1043478261"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.1173913043"," 0.0043478261"," 0.0000000000"," 0.0000000000"," 0.0086956522"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0043478261"," 0.0000000000"," 0.0260869565"," 0.0043478261"," 0.0956521739"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0086956522"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0043478261"," 0.0000000000"," 0.0000000000"," 0.0173913043"," 0.0000000000"," 0.0000000000"," 0.8371467026"," 0.0000000000",NA,NA
"...4"," 0.0328638498"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0046948357"," 0.0000000000"," 0.0000000000"," 0.0046948357"," 0.0140845070"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0046948357"," 0.0093896714"," 0.1079812207"," 0.0000000000"," 0.0093896714"," 0.0000000000"," 0.0000000000"," 0.0046948357"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0469483568"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0046948357"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0093896714"," 0.0000000000"," 0.0140845070"," 0.0328638498"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0234741784"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0328638498"," 0.0751173709"," 0.0093896714"," 0.0375586854"," 0.0093896714"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0187793427"," 0.0000000000"," 0.0000000000"," 0.0093896714"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0563380282"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0046948357"," 0.0140845070"," 0.0000000000"," 0.0000000000"," 0.0046948357"," 0.0000000000"," 0.0046948357"," 0.0046948357"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0469483568"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0046948357"," 0.1737089202"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0046948357"," 0.0000000000"," 0.0000000000"," 0.0093896714"," 0.0000000000"," 0.0093896714"," 0.0000000000"," 0.1126760563"," 0.0000000000"," 0.0046948357"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0093896714"," 0.0000000000"," 0.0093896714"," 0.0093896714"," 0.0000000000"," 0.0000000000"," 0.8051601423"," 1.0000000000",NA,NA
"...5","3.333333e-02","5.555556e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.111111e-02","5.555556e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.555556e-03","0.000000e+00","1.055556e-01","0.000000e+00","0.000000e+00","0.000000e+00","5.555556e-03","0.000000e+00","1.000000e-01","2.712551e-01","5.555556e-03","2.777778e-02","0.000000e+00","5.555556e-03","0.000000e+00","0.000000e+00","0.000000e+00","1.111111e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.333333e-02","0.000000e+00","3.888889e-02","7.222222e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.333333e-02","0.000000e+00","0.000000e+00","1.666667e-02","4.444444e-02","4.444444e-02","0.000000e+00","1.666667e-02","1.111111e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.666667e-02","0.000000e+00","5.555556e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.555556e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.555556e-03","0.000000e+00","5.555556e-03","0.000000e+00","5.555556e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","7.222222e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","8.888889e-02","0.000000e+00","0.000000e+00","0.000000e+00","1.111111e-02","0.000000e+00","0.000000e+00","5.555556e-03","0.000000e+00","0.000000e+00","3.888889e-02","5.555556e-03","7.777778e-02","0.000000e+00","5.555556e-03","5.555556e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.555556e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.555556e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","7.720588e-01","2.000000e+00",NA,NA
"...6","4.316547e-02","7.194245e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","7.194245e-03","0.000000e+00","7.194245e-03","0.000000e+00","1.438849e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.007194e-01","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","7.194245e-03","0.000000e+00","1.575758e-01","0.000000e+00","3.597122e-02","7.194245e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","7.194245e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.158273e-02","0.000000e+00","2.877698e-02","6.474820e-02","0.000000e+00","7.194245e-03","0.000000e+00","0.000000e+00","1.438849e-02","0.000000e+00","0.000000e+00","8.633094e-02","2.158273e-02","7.913669e-02","0.000000e+00","1.438849e-02","1.438849e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.158273e-02","0.000000e+00","0.000000e+00","1.438849e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.438849e-02","7.194245e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","7.194245e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","7.194245e-03","0.000000e+00","0.000000e+00","0.000000e+00","1.223022e-01","0.000000e+00","0.000000e+00","7.194245e-03","0.000000e+00","0.000000e+00","3.597122e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","7.194245e-03","0.000000e+00","7.194245e-03","0.000000e+00","0.000000e+00","7.194245e-03","0.000000e+00","7.194245e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","7.194245e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","7.194245e-03","0.000000e+00","0.000000e+00","2.158273e-02","0.000000e+00","1.438849e-02","1.438849e-02","7.194245e-03","7.194245e-03","8.181818e-01","3.000000e+00",NA,NA
"...7","5.911330e-02","0.000000e+00","4.926108e-03","0.000000e+00","0.000000e+00","0.000000e+00","4.926108e-03","0.000000e+00","0.000000e+00","9.852217e-03","4.926108e-03","4.926108e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.926108e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.182266e-01","0.000000e+00","0.000000e+00","4.926108e-03","0.000000e+00","9.852217e-03","0.000000e+00","0.000000e+00","0.000000e+00","2.955665e-02","0.000000e+00","0.000000e+00","4.926108e-03","0.000000e+00","0.000000e+00","9.852217e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","9.852217e-03","0.000000e+00","2.463054e-02","9.852217e-03","0.000000e+00","0.000000e+00","0.000000e+00","9.852217e-03","3.448276e-02","0.000000e+00","0.000000e+00","0.000000e+00","7.389163e-02","9.852217e-02","0.000000e+00","5.911330e-02","2.463054e-02","9.852217e-03","0.000000e+00","0.000000e+00","0.000000e+00","9.852217e-03","0.000000e+00","2.463054e-02","9.852217e-03","4.926108e-03","0.000000e+00","0.000000e+00","0.000000e+00","3.448276e-02","0.000000e+00","0.000000e+00","9.852217e-03","9.852217e-03","4.926108e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","8.866995e-02","0.000000e+00","0.000000e+00","4.926108e-03","0.000000e+00","0.000000e+00","6.403941e-02","0.000000e+00","0.000000e+00","0.000000e+00","4.926108e-03","0.000000e+00","0.000000e+00","0.000000e+00","9.852217e-03","0.000000e+00","3.448276e-02","0.000000e+00","4.926108e-02","0.000000e+00","0.000000e+00","4.926108e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","7.770632e-01","4.000000e+00",NA,NA
"...8","4.508197e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.098361e-03","0.000000e+00","0.000000e+00","0.000000e+00","8.196721e-03","4.098361e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.098361e-03","4.098361e-03","0.000000e+00","9.426230e-02","0.000000e+00","4.098361e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.737705e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.049180e-02","0.000000e+00","1.229508e-02","2.049180e-02","8.196721e-03","0.000000e+00","0.000000e+00","0.000000e+00","8.196721e-03","0.000000e+00","0.000000e+00","1.229508e-02","4.918033e-02","6.557377e-02","4.098361e-03","7.377049e-02","2.049180e-02","0.000000e+00","4.098361e-03","0.000000e+00","0.000000e+00","1.229508e-02","4.098361e-03","4.098361e-03","1.229508e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.459016e-02","0.000000e+00","0.000000e+00","8.196721e-03","8.196721e-03","0.000000e+00","0.000000e+00","0.000000e+00","4.098361e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.098361e-03","0.000000e+00","0.000000e+00","0.000000e+00","9.426230e-02","0.000000e+00","0.000000e+00","4.098361e-03","0.000000e+00","0.000000e+00","1.311475e-01","0.000000e+00","0.000000e+00","0.000000e+00","4.098361e-03","0.000000e+00","0.000000e+00","1.229508e-02","0.000000e+00","0.000000e+00","2.868852e-02","0.000000e+00","7.377049e-02","0.000000e+00","4.098361e-03","4.098361e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.229508e-02","0.000000e+00","0.000000e+00","2.049180e-02","4.098361e-03","0.000000e+00","7.873070e-01","7.100000e+01",NA,NA
"...9","2.941176e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.201681e-03","1.260504e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.201681e-03","7.983193e-02","0.000000e+00","8.403361e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.201681e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.941176e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.201681e-02","0.000000e+00","1.260504e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","8.403361e-03","4.201681e-03","0.000000e+00","4.621849e-02","3.361345e-02","1.050420e-01","8.403361e-03","3.781513e-02","8.403361e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","8.403361e-03","0.000000e+00","0.000000e+00","8.403361e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.521008e-02","0.000000e+00","4.201681e-03","8.403361e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.201681e-03","0.000000e+00","0.000000e+00","4.201681e-03","0.000000e+00","0.000000e+00","0.000000e+00","1.260504e-01","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.092437e-01","4.201681e-03","0.000000e+00","0.000000e+00","1.260504e-02","0.000000e+00","0.000000e+00","0.000000e+00","8.403361e-03","0.000000e+00","2.941176e-02","4.201681e-03","8.823529e-02","0.000000e+00","4.201681e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.201681e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.201681e-03","2.100840e-02","0.000000e+00","0.000000e+00","7.313596e-01","2.920000e+02",NA,NA
"...10","1.515152e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.050505e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.050505e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.545455e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.010101e-02","0.000000e+00","0.000000e+00","0.000000e+00","6.565657e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.050505e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.050505e-03","0.000000e+00","1.515152e-02","4.040404e-02","0.000000e+00","5.050505e-03","0.000000e+00","0.000000e+00","2.525253e-02","0.000000e+00","0.000000e+00","0.000000e+00","4.040404e-02","7.070707e-02","0.000000e+00","8.080808e-02","5.050505e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.040404e-02","5.050505e-03","1.010101e-02","5.050505e-03","0.000000e+00","5.025126e-03","0.000000e+00","0.000000e+00","2.525253e-02","5.050505e-03","0.000000e+00","1.010101e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","9.595960e-02","5.050505e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.262626e-01","0.000000e+00","0.000000e+00","0.000000e+00","1.515152e-02","0.000000e+00","0.000000e+00","1.010101e-02","0.000000e+00","0.000000e+00","4.040404e-02","0.000000e+00","1.010101e-01","0.000000e+00","0.000000e+00","5.050505e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.050505e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.515152e-02","0.000000e+00","5.050505e-03","3.535354e-02","0.000000e+00","0.000000e+00","8.071625e-01","4.690000e+02",NA,NA
"...11","2.492212e-02","3.115265e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","6.230530e-03","3.115265e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.115265e-03","0.000000e+00","0.000000e+00","0.000000e+00","3.115265e-03","2.803738e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","6.230530e-03","0.000000e+00","0.000000e+00","0.000000e+00","3.115265e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.115265e-03","0.000000e+00","0.000000e+00","3.115265e-03","0.000000e+00","9.345794e-03","3.115265e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","6.230530e-03","0.000000e+00","0.000000e+00","0.000000e+00","1.869159e-02","9.968847e-02","0.000000e+00","6.542056e-02","9.345794e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.246106e-02","3.115265e-03","1.557632e-02","6.230530e-03","3.115265e-03","1.834862e-02","0.000000e+00","0.000000e+00","3.115265e-03","3.115265e-03","6.230530e-03","0.000000e+00","3.115265e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","6.230530e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.149533e-01","0.000000e+00","3.115265e-03","0.000000e+00","6.230530e-03","0.000000e+00","1.277259e-01","0.000000e+00","0.000000e+00","0.000000e+00","1.869159e-02","0.000000e+00","0.000000e+00","0.000000e+00","9.345794e-03","0.000000e+00","2.492212e-02","0.000000e+00","5.295950e-02","0.000000e+00","6.230530e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.115265e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.115265e-03","0.000000e+00","0.000000e+00","1.370717e-01","0.000000e+00","3.115265e-03","6.756757e-01","6.490000e+02",NA,NA
"...12","8.130081e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","8.130081e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.065041e-03","3.252033e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.065041e-03","0.000000e+00","0.000000e+00","0.000000e+00","5.284553e-02","0.000000e+00","0.000000e+00","4.065041e-03","0.000000e+00","0.000000e+00","4.065041e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.219512e-02","0.000000e+00","4.065041e-03","4.065041e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.219512e-02","0.000000e+00","0.000000e+00","0.000000e+00","1.626016e-02","2.439024e-02","0.000000e+00","7.723577e-02","4.065041e-03","1.219512e-02","0.000000e+00","4.065041e-03","0.000000e+00","0.000000e+00","1.219512e-02","4.065041e-03","8.130081e-03","0.000000e+00","8.064516e-03","0.000000e+00","0.000000e+00","8.130081e-03","8.130081e-03","0.000000e+00","4.065041e-03","8.130081e-03","0.000000e+00","0.000000e+00","0.000000e+00","8.130081e-03","0.000000e+00","4.065041e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.065041e-03","2.073171e-01","0.000000e+00","0.000000e+00","8.130081e-03","8.130081e-03","0.000000e+00","2.113821e-01","0.000000e+00","0.000000e+00","0.000000e+00","2.845528e-02","0.000000e+00","4.065041e-03","0.000000e+00","0.000000e+00","0.000000e+00","4.471545e-02","0.000000e+00","4.065041e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.065041e-03","0.000000e+00","0.000000e+00","0.000000e+00","4.065041e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","8.130081e-03","0.000000e+00","0.000000e+00","6.910569e-02","4.065041e-03","0.000000e+00","7.594937e-01","8.320000e+02",NA,NA
"...13","7.407407e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.481481e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.703704e-03","0.000000e+00","0.000000e+00","0.000000e+00","6.296296e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.703704e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","7.407407e-03","0.000000e+00","3.703704e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.703704e-03","0.000000e+00","0.000000e+00","0.000000e+00","2.962963e-02","1.851852e-02","0.000000e+00","5.925926e-02","3.703704e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","7.407407e-03","2.592593e-02","1.851852e-02","0.000000e+00","3.703704e-03","2.527076e-02","0.000000e+00","0.000000e+00","1.481481e-02","3.703704e-03","3.703704e-03","3.703704e-03","7.407407e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.481481e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.037037e-01","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.370370e-01","0.000000e+00","0.000000e+00","0.000000e+00","7.777778e-02","0.000000e+00","0.000000e+00","7.407407e-03","7.407407e-03","0.000000e+00","2.222222e-02","0.000000e+00","2.592593e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.703704e-03","0.000000e+00","7.407407e-03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.703704e-03","0.000000e+00","0.000000e+00","7.407407e-02","3.703704e-03","3.703704e-03","6.625917e-01","1.014000e+03",NA,NA
